Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;discriminant;Réglementaire;type d'évaluation;procédure de mesure;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01011;Metz-Centre;Urbaine;NO2;Fond;B;Oui;mesures fixes;;Moy. annuelle;19.0;18.757262505736602;µg-m3;99.0;100;99.0;R;1;49.119442;6.180833
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01012;Metz-Borny;Urbaine;NO2;Fond;1;Oui;mesures fixes;;Moy. annuelle;17.0;17.416015162283806;µg-m3;96.0;100;96.0;R;1;49.110283;6.223336
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO GRAND EST;FR44ZRE01;ZR GRAND-EST;FR01016;Atton;Rurale près des villes;NO2;Industrielle;1;Oui;mesures fixes;;Moy. annuelle;16.0;15.969884399952287;µg-m3;96.0;100;96.0;R;1;48.886387;6.093611
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01018;Scy-Chazelles;Périurbaine;NO2;Fond;B;Oui;mesures indicatives;;Moy. annuelle;13.0;12.889261828090158;µg-m3;92.0;100;92.0;R;1;49.107502;6.122775
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01019;Thionville-Piscine;Urbaine;NO2;Fond;1;Oui;mesures fixes;;Moy. annuelle;17.0;16.857790133680368;µg-m3;97.0;99;96.0;R;1;49.36861;6.160831
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01020;Thionville-Centre;Urbaine;NO2;Fond;E;Oui;mesures fixes;;Moy. annuelle;21.0;20.611741538461576;µg-m3;96.0;97;93.0;R;1;49.358337;6.156942
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01021;Thionville-Garche;Périurbaine;NO2;Fond;B;Oui;mesures indicatives;;Moy. annuelle;12.0;12.497243660418942;µg-m3;93.0;100;93.0;R;1;49.394444;6.201392
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01022;St-Julien-lès-Metz;Urbaine;NO2;Industrielle;B;Oui;mesures fixes;;Moy. annuelle;13.0;13.005477676993772;µg-m3;97.0;100;97.0;R;1;49.131115;6.207225
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01059;HAYANGE-MARSPICH;Périurbaine;NO2;Industrielle;2;Oui;mesures indicatives;;Moy. annuelle;18.0;18.12104731095838;µg-m3;98.0;58;56.0;R;1;49.3374;6.08207
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO GRAND EST;FR44ZRE01;ZR GRAND-EST;FR01060;Malroy;Rurale près des villes;NO2;Fond;2;Oui;mesures fixes;;Moy. annuelle;17.0;16.556515927823604;µg-m3;97.0;53;51.0;N;-1;49.16885;6.212669
