Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;discriminant;Réglementaire;type d'évaluation;procédure de mesure;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01011;Metz-Centre;Urbaine;O3;Fond;A;Oui;mesures fixes;;Moy. annuelle;50.0;49.86219162363736;µg-m3;99.0;100;99.0;R;1;49.119442;6.180833
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01018;Scy-Chazelles;Périurbaine;O3;Fond;;Oui;mesures fixes;;Moy. annuelle;54.0;53.87827904118008;µg-m3;93.0;100;93.0;R;1;49.107502;6.122775
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01020;Thionville-Centre;Urbaine;O3;Fond;A;Oui;mesures fixes;;Moy. annuelle;48.0;48.068968488429334;µg-m3;98.0;95;93.0;R;1;49.358337;6.156942
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01021;Thionville-Garche;Périurbaine;O3;Fond;A;Oui;mesures fixes;;Moy. annuelle;51.0;50.549416024293386;µg-m3;98.0;100;98.0;R;1;49.394444;6.201392
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02001;Berre l'Etang;Périurbaine;O3;Fond;A;Oui;mesures fixes;;Moy. annuelle;69.0;68.72738929122643;µg-m3;97.0;99;96.0;R;1;43.486234;5.171939
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02004;Martigues P. Central;Urbaine;O3;Fond;A;Oui;mesures fixes;;Moy. annuelle;76.0;76.25358950759335;µg-m3;99.0;100;99.0;R;1;43.416661;5.042731
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02012;Istres;Urbaine;O3;Fond;A;Oui;mesures fixes;;Moy. annuelle;65.0;65.28323754789275;µg-m3;98.0;98;95.0;R;1;43.506149;4.982898
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02019;Vitrolles;Urbaine;O3;Fond;A;Oui;mesures fixes;;Moy. annuelle;67.0;66.81121701731945;µg-m3;99.0;99;98.0;R;1;43.44603;5.254136
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02021;Sausset les Pins;Périurbaine;O3;Fond;A;Oui;mesures fixes;;Moy. annuelle;72.0;72.28251249107775;µg-m3;98.0;98;96.0;R;1;43.331245;5.117696
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO SUD;FR93ZRE01;ZR PROVENCE-ALPES-COTE D’AZUR;FR02022;Arles;Urbaine;O3;Fond;A;Oui;mesures fixes;;Moy. annuelle;56.0;56.03563260789365;µg-m3;94.0;99;93.0;R;1;43.675114;4.62921
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO SUD;FR93ZRE01;ZR PROVENCE-ALPES-COTE D’AZUR;FR02024;Ste Maries de la Mer;Périurbaine;O3;Fond;A;Oui;mesures fixes;;Moy. annuelle;65.0;65.4919316375198;µg-m3;97.0;88;86.0;N;-1;43.457076;4.428002
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02041;SALON;Urbaine;O3;Fond;1;Oui;mesures fixes;;Moy. annuelle;65.0;65.21268864638968;µg-m3;98.0;100;98.0;R;1;43.639002;5.101097
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO SUD;FR93ZRE01;ZR PROVENCE-ALPES-COTE D’AZUR;FR03027;PLAN AUPS/STE  BAUME;Rurale près des villes;O3;Fond;A;Oui;mesures fixes;;Moy. annuelle;86.0;85.77917304747317;µg-m3;97.0;100;97.0;R;1;43.335201;5.727365
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03032;AUBAGNE LES PASSONS;Urbaine;O3;Fond;1;Oui;mesures fixes;;Moy. annuelle;61.0;61.11880723174447;µg-m3;97.0;100;97.0;R;1;43.293138;5.574184
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03037;VALLEE HUVEAUNE;Périurbaine;O3;Fond;A;Oui;mesures fixes;;Moy. annuelle;50.0;50.447930335202244;µg-m3;98.0;98;96.0;R;1;43.283341;5.511384
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03043;MARSEILLE 5 AVENUES;Urbaine;O3;Fond;A;Oui;mesures fixes;;Moy. annuelle;58.0;58.08675315401087;µg-m3;97.0;99;96.0;R;1;43.305287;5.394716
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03048;AIX PLATANES;Périurbaine;O3;Fond;A;Oui;mesures fixes;;Moy. annuelle;59.0;59.10744998850311;µg-m3;99.0;100;99.0;R;1;43.555777;5.461232
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO SUD;FR93ZRE01;ZR PROVENCE-ALPES-COTE D’AZUR;FR03067;BRIGNOLES;Périurbaine;O3;Fond;A;Oui;mesures fixes;;Moy. annuelle;68.0;67.61740524447482;µg-m3;100.0;100;100.0;R;1;43.398731;6.075611
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO SUD;FR93ZAG03;ZAG TOULON;FR03069;HYERES;Urbaine;O3;Fond;A;Oui;mesures fixes;;Moy. annuelle;70.0;70.27381343984953;µg-m3;99.0;98;97.0;R;1;43.119737;6.131319
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO SUD;FR93ZAR01;ZAR FREJUS-DRAGUIGNAN;FR03070;ESTEREL;Périurbaine;O3;Fond;A;Oui;mesures fixes;;Moy. annuelle;63.0;62.60187131800844;µg-m3;99.0;100;99.0;R;1;43.437874;6.76839
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO SUD;FR93ZAG03;ZAG TOULON;FR03071;TOULON CLARET;Urbaine;O3;Fond;A;Oui;mesures fixes;;Moy. annuelle;61.0;61.46573162354016;µg-m3;100.0;100;100.0;R;1;43.131113;5.924184
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO SUD;FR93ZAG04;ZAG AVIGNON;FR03080;AVIGNON   MAIRIE;Urbaine;O3;Fond;A;Oui;mesures fixes;;Moy. annuelle;64.0;64.46889321723172;µg-m3;100.0;100;100.0;R;1;43.949673;4.804341
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO SUD;FR93ZRE01;ZR PROVENCE-ALPES-COTE D’AZUR;FR03086;APT;Périurbaine;O3;Fond;A;Oui;mesures fixes;;Moy. annuelle;61.0;61.051710938406224;µg-m3;98.0;100;98.0;R;1;43.88012;5.362038
