Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;discriminant;Réglementaire;type d'évaluation;procédure de mesure;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01005;Hayange;Périurbaine;PM10;Industrielle;A;Oui;mesures indicatives;;Moy. annuelle;14.0;13.835486858863016;µg-m3;99.0;99;99.0;R;1;49.324722;6.076108
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01011;Metz-Centre;Urbaine;PM10;Fond;C;Oui;mesures fixes;;Moy. annuelle;18.0;17.54719672537831;µg-m3;93.0;99;92.0;R;1;49.119442;6.180833
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01012;Metz-Borny;Urbaine;PM10;Fond;C;Oui;mesures fixes;;Moy. annuelle;17.0;16.514448089993067;µg-m3;97.0;100;97.0;R;1;49.110283;6.223336
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO GRAND EST;FR44ZRE01;ZR GRAND-EST;FR01014;Pont-à-Mousson;Urbaine;PM10;Fond;;Oui;mesures indicatives;;Moy. annuelle;18.0;17.646683822669328;µg-m3;98.0;99;98.0;R;1;48.915;6.058336
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO GRAND EST;FR44ZRE01;ZR GRAND-EST;FR01015;Blénod-lès-PAM;Urbaine;PM10;Industrielle;B;Oui;mesures indicatives;;Moy. annuelle;17.0;16.985824923726813;µg-m3;97.0;100;97.0;R;1;48.884724;6.051392
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO GRAND EST;FR44ZRE01;ZR GRAND-EST;FR01016;Atton;Rurale près des villes;PM10;Industrielle;B;Oui;mesures fixes;;Moy. annuelle;18.0;17.917816626371582;µg-m3;96.0;64;61.0;N;-1;48.886387;6.093611
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01019;Thionville-Piscine;Urbaine;PM10;Fond;H;Oui;mesures fixes;;Moy. annuelle;16.0;15.632753505933158;µg-m3;87.0;98;85.0;R;1;49.36861;6.160831
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01020;Thionville-Centre;Urbaine;PM10;Fond;A;Oui;mesures fixes;;Moy. annuelle;17.0;17.421122635753516;µg-m3;95.0;98;94.0;R;1;49.358337;6.156942
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01022;St-Julien-lès-Metz;Urbaine;PM10;Industrielle;B;Oui;mesures fixes;;Moy. annuelle;12.0;12.006809949287605;µg-m3;95.0;100;95.0;R;1;49.131115;6.207225
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01059;HAYANGE-MARSPICH;Périurbaine;PM10;Industrielle;3;Oui;mesures indicatives;;Moy. annuelle;11.0;11.07945357893441;µg-m3;96.0;96;92.0;R;1;49.3374;6.08207
