nom site;Polluant;valeur brute;Latitude;Longitude
Metz-Centre;NO2;18.757262505736602;49.119442;6.180833
Metz-Borny;NO2;17.416015162283806;49.110283;6.223336
Atton;NO2;15.969884399952287;48.886387;6.093611
Scy-Chazelles;NO2;12.889261828090158;49.107502;6.122775
Thionville-Piscine;NO2;16.857790133680368;49.36861;6.160831
Thionville-Centre;NO2;20.611741538461576;49.358337;6.156942
Thionville-Garche;NO2;12.497243660418942;49.394444;6.201392
St-Julien-lès-Metz;NO2;13.005477676993772;49.131115;6.207225
HAYANGE-MARSPICH;NO2;18.12104731095838;49.3374;6.08207
Malroy;NO2;16.556515927823604;49.16885;6.212669
Metz- Pont Grilles;NO2;28.550431134933635;49.12508;6.181219
Belleville sur Meuse;NO2;19.93253607175353;49.16778;5.387461
Martigues l'Ile;NO2;15.750291285221753;43.405297;5.051636
Fos Les Carabins;NO2;11.545941638057874;43.458927;4.934572
Vitrolles;NO2;15.372743595882298;43.44603;5.254136
Arles;NO2;18.074647887323977;43.675114;4.62921
SALON;NO2;15.303994506123377;43.639002;5.101097
Marignane;NO2;22.917294298193948;43.4165306;5.222281
MARSEILLE RABATAU;NO2;44.94172091371744;43.276451;5.39736
MARSEILLE ST LOUIS;NO2;32.78594182825484;43.348048;5.360119
AIX ROY RENE;NO2;39.21122815140639;43.524075;5.448164
AIX CENTRE ECOLE ART;NO2;22.56148413984721;43.530285;5.440912
GARDANNE;NO2;22.498353672576577;43.453584;5.466672
AUBAGNE LES PASSONS;NO2;17.00491406159877;43.293138;5.574184
MARSEILLE 5 AVENUES;NO2;26.066291866028777;43.305287;5.394716
LA SEYNE GENOUD;NO2;17.682243857209013;43.101565;5.875404
TOULON FOCH;NO2;38.12167832167846;43.126821;5.921605
ESTEREL;NO2;9.697339482085885;43.437874;6.76839
TOULON CLARET;NO2;22.48752577319589;43.131113;5.924184
AVIGNON   MAIRIE;NO2;15.870687478480393;43.949673;4.804341
LE PONTET;NO2;16.521383358269066;43.960144;4.856731
Avignon Semard;NO2;24.43363517216722;43.93706;4.824909
GENNEVILLIERS;NO2;28.29942021983336;48.92972;2.294722
PARIS 18eme;NO2;34.16956316966925;48.891666;2.346667
PARIS 12eme;NO2;31.83144009216603;48.837223;2.3939
NEUILLY-SUR-SEINE;NO2;33.477584994138425;48.88139;2.278056
AUBERVILLIERS;NO2;29.95752886836023;48.9039;2.3847
GONESSE;NO2;23.0269208748425;48.99083;2.444722
VERSAILLES;NO2;20.125827280064605;48.799168;2.130556
Av Champs Elysees;NO2;40.48331810468597;48.86889;2.311944
VITRY-SUR-SEINE;NO2;28.237299717247943;48.7758;2.3758
PARIS 13eme;NO2;28.45663809082477;48.82861;2.360278
Zone Rurale SO;NO2;7.840726087968382;48.581944;1.883333
ARGENTEUIL;NO2;24.89508196721304;48.95139;2.223611
PARIS 1er Les Halles;NO2;31.818264014466525;48.86212;2.344616
Auto A1 -Saint-Denis;NO2;73.33488805970174;48.925278;2.356667
SAINT-DENIS;NO2;28.52441638875657;48.93722;2.361667
PARIS 7eme;NO2;27.609182297413287;48.8572;2.2933
MANTES-LA-JOLIE;NO2;19.093873399545295;48.9964;1.7033
MELUN;NO2;18.498839076201087;48.54139;2.661389
Rue Bonaparte;NO2;45.238308335382335;48.856388;2.335278
LOGNES;NO2;22.97940312536713;48.84028;2.635278
VILLEMOMBLE;NO2;28.034687970360082;48.881947;2.507222
CHAMPIGNY-SUR-MARNE;NO2;26.330856736580227;48.816387;2.5175
Place de l'Opéra;NO2;59.739570179699136;48.870274;2.3325
RN6-MELUN;NO2;39.0053538000749;48.528057;2.653611
RN2-PANTIN;NO2;51.4220176048183;48.90222;2.390833
Boulevard Haussmann;NO2;49.10289955125991;48.873333;2.330278
Boulevard Soult;NO2;39.21518063495913;48.83796;2.408061
Quai des Celestins;NO2;53.85649290202514;48.85278;2.360556
PARIS Centre;NO2;32.39911392405059;48.859001;2.351
MONTGERON;NO2;21.79821346770496;48.7067;2.4572
LA DEFENSE;NO2;30.636292638107278;48.891388;2.240556
BOBIGNY;NO2;28.03613396004715;48.902504;2.4525
PARIS Stade Lenglen;NO2;25.51278116213677;48.830387;2.269889
RN20 - MONTLHERY;NO2;60.64236641221387;48.64093;2.26872
TREMBLAY-EN-FRANCE;NO2;27.13916841369676;48.95555;2.575278
EVRY;NO2;23.753816189896536;48.62722;2.429167
Zone Rurale SE;NO2;5.4081835162269405;48.3547;2.6453
Bld peripherique Est;NO2;60.64558620689651;48.838615;2.412781
Le Havre Massillon;NO2;17.53106461255455;49.4983;0.142706
Gonfreville l Orcher;NO2;13.589544549818541;49.50273;0.232486
NDGravenchon Pasteur;NO2;11.240393863063863;49.493332;0.571853
Maison Parc Brotonne;NO2;8.467590543845319;49.498295;0.758833
Le Havre Lafaurie-montant;NO2;32.92643182083266;49.500187;0.110903
Le Havre ville-haute;NO2;12.490315420560734;49.514686;0.100645
Valenciennes Acacias;NO2;17.384362680683246;50.35853;3.50804
Douai Theuriet;NO2;15.93485292394241;50.37822;3.06586
Valenciennes Wallon;NO2;31.49734360472832;50.36425;3.52273
Maubeuge Joyeuse;NO2;13.015170278637758;50.27936;3.97691
Denain Villars;NO2;16.09474442044636;50.32276;3.39593
Cartignies;NO2;6.137236477532837;50.09225;3.85003
Saint Amand;NO2;10.837098049551917;50.45647;3.42794
Montferrand;NO2;17.964137142857087;45.79728;3.113833
Jardin Lecoq;NO2;19.240565387267303;45.772167;3.0875
Paray le Fresil;NO2;3.715949130789879;46.652668;3.600667
Riom;NO2;9.622580645161293;45.894196;3.115056
Clermont-Esplanade Gare;NO2;33.64281939338226;45.775696;3.09625
Chamalières Europe;NO2;27.801530903690168;45.774728;3.062978
Villeneuve sur Allier;NO2;31.14858873271645;46.659048;3.249247
Beaulieu;NO2;12.851301243666544;45.769;3.155
Aurillac-Lagarde;NO2;9.39352773013147;44.92008;2.441082
Edouard Michelin;NO2;33.08413351623249;45.780434;3.111592
Le Puy-Causans;NO2;13.666280137772661;45.039001;3.887001
Moulins Centre;NO2;11.193113912231508;46.5619722;3.34063888888888
Montluçon;NO2;14.857575757575692;46.340723;2.593945
Vichy;NO2;13.33361911294004;46.130431;3.425694
Royat Périurbaine;NO2;9.089261207685276;45.764111;3.046111
Riom Périurbaine;NO2;12.542764828063664;45.89674;3.122254
Montpellier Chaptal;NO2;25.84770253237086;43.611302;3.86626
Montpellier St Denis;NO2;38.69880056444027;43.6051;3.87464
Montpellier Prés d'Arènes;NO2;19.346259134671246;43.5915;3.88681
Lunel Viel;NO2;11.889195203362595;43.6758;4.08838
Agathois-piscénois;NO2;8.240369817388311;43.2875;3.50484
Pompignane;NO2;27.412058436115394;43.6096;3.89878
Gard Rhodanien1;NO2;7.869742765273307;43.8292;4.64295
Nimes Gauzy;NO2;15.443768458357935;43.8344;4.3744
Nimes Planas;NO2;31.651454823889672;43.8299;4.36199
Nimes La Calmette;NO2;10.8444042478702;43.9254;4.26581
Perpignan Rigaud;NO2;13.880369458128076;42.6835;2.90351
Perpignan Les Carmes;NO2;15.875286609147771;42.6955;2.90053
place de VERDUN;NO2;16.811397948599875;46.162556;-1.153603
Aytré;NO2;8.071012582384675;46.135155;-1.117042
Les Couronneries;NO2;10.140219055470503;46.586918;0.358583
La Couronne;NO2;10.80227567503834;45.60882;0.099722
COGNAC;NO2;14.70259740259737;45.694725;-0.323361
Niort Ferry;NO2;12.854808834006159;46.329586;-0.458889
Square Pablo Casals;NO2;15.719693153194426;45.647415;0.167167
ANGOULEME-GAMBETTA;NO2;28.133199811498677;45.65145;0.16236667
AIRVAULT 2;NO2;7.199013082396136;46.824368;-0.135461
Zoodyssée Chizé;NO2;3.022066813085179;46.143173;-0.396042
Niort Trafic 6;NO2;27.287034910427135;46.321976;-0.4664312
Poitiers-Le Nain;NO2;33.83102137767223;46.5909;0.3404
Poitiers Centre  Augouard;NO2;19.457041351193876;46.58389;0.345556
Mardyck;NO2;14.013097112860928;51.01943;2.25099
St Pol mer - cheminots;NO2;17.716161142991012;51.032761;2.332358
Sangatte;NO2;11.248999622499;50.94989;1.76917
Calais Parmentier;NO2;14.38009938189307;50.9578;1.89008
Cappelle la Grande;NO2;13.472701045798779;50.99594;2.36627
Outreau;NO2;10.207172078752272;50.69435;1.57657
Grande-synthe;NO2;17.56571658430062;51.02446;2.30215
St Omer Ribot;NO2;14.095681511471023;50.74823;2.25978
Lille Leeds;NO2;29.434657581706823;50.6407944;3.074772
Lille Fives;NO2;22.466773602199773;50.62805;3.09031
Halluin stade;NO2;16.01192395620262;50.775482;3.12568
Roubaix Serres;NO2;29.157096580683856;50.706535;3.18066
ECOLE M.JACQUIER;NO2;17.500275197798373;43.575694;1.418064
PEYRUSSE;NO2;0.9073135755258142;43.6287;0.179069
MAZADES;NO2;18.291942363112415;43.623606;1.438531
ALBI DELMAS;NO2;13.895236999539819;43.927769;2.145897
BERTHELOT;NO2;17.122786428073443;43.587344;1.444003
LOURDES LAPACCA;NO2;10.11176739403632;43.096247;-0.040497
Aeroport cote trafic;NO2;20.988339714584104;43.633478;1.375717
LOURDES PARADIS;NO2;16.711337320269706;43.094992;-0.052394
Lycée Dupuy à Tarbes;NO2;13.429102489866803;43.230297;0.062339
Stade Travet CASTRES;NO2;7.221564380264735;43.610497;2.23015
TRAFIC_TOULOUSE;NO2;36.840810150157225;43.643944;1.468244
Port de l Embouchure;NO2;43.98547881601857;43.610386;1.4152
REVIN;NO2;4.702798531087768;49.90778;4.63
BETHENY;NO2;13.407141173697886;49.28222;4.051111
