nom site;Polluant;valeur brute;Latitude;Longitude
Metz-Centre;O3;49.86219162363736;49.119442;6.180833
Scy-Chazelles;O3;53.87827904118008;49.107502;6.122775
Thionville-Centre;O3;48.068968488429334;49.358337;6.156942
Thionville-Garche;O3;50.549416024293386;49.394444;6.201392
Berre l'Etang;O3;68.72738929122643;43.486234;5.171939
Martigues P. Central;O3;76.25358950759335;43.416661;5.042731
Istres;O3;65.28323754789275;43.506149;4.982898
Vitrolles;O3;66.81121701731945;43.44603;5.254136
Sausset les Pins;O3;72.28251249107775;43.331245;5.117696
Arles;O3;56.03563260789365;43.675114;4.62921
Ste Maries de la Mer;O3;65.4919316375198;43.457076;4.428002
SALON;O3;65.21268864638968;43.639002;5.101097
PLAN AUPS/STE  BAUME;O3;85.77917304747317;43.335201;5.727365
AUBAGNE LES PASSONS;O3;61.11880723174447;43.293138;5.574184
VALLEE HUVEAUNE;O3;50.447930335202244;43.283341;5.511384
MARSEILLE 5 AVENUES;O3;58.08675315401087;43.305287;5.394716
AIX PLATANES;O3;59.10744998850311;43.555777;5.461232
BRIGNOLES;O3;67.61740524447482;43.398731;6.075611
HYERES;O3;70.27381343984953;43.119737;6.131319
ESTEREL;O3;62.60187131800844;43.437874;6.76839
TOULON CLARET;O3;61.46573162354016;43.131113;5.924184
AVIGNON   MAIRIE;O3;64.46889321723172;43.949673;4.804341
APT;O3;61.051710938406224;43.88012;5.362038
CARPENTRAS;O3;67.1338679683868;44.060347;5.067413
PARIS 18eme;O3;45.08295521335378;48.891666;2.346667
NEUILLY-SUR-SEINE;O3;43.67427352398527;48.88139;2.278056
CERGY-PONTOISE;O3;54.37394250993224;49.04639;2.043056
VERSAILLES;O3;50.01235800344232;48.799168;2.130556
VITRY-SUR-SEINE;O3;49.037807118254996;48.7758;2.3758
PARIS 13eme;O3;46.6025490871512;48.82861;2.360278
Zone Rurale SO;O3;62.12572244024259;48.581944;1.883333
Zone Rurale Nord;O3;60.57289997711147;49.100277;2.343889
LES ULIS;O3;60.92927506070061;48.679443;2.165556
PARIS 1er Les Halles;O3;31.475877950489348;48.86212;2.344616
MANTES-LA-JOLIE;O3;51.19619749619754;48.9964;1.7033
Zone rurale Sud;O3;60.50248756218901;48.364166;2.236944
MELUN;O3;47.023857573648854;48.54139;2.661389
LOGNES;O3;50.18681357117871;48.84028;2.635278
VILLEMOMBLE;O3;44.51122056703518;48.881947;2.507222
CHAMPIGNY-SUR-MARNE;O3;46.3668252646605;48.816387;2.5175
Zone Rurale Nord-Est;O3;60.02898019915289;49.028057;2.750278
PARIS Centre;O3;50.98280019289498;48.859001;2.351
MONTGERON;O3;48.96922813036023;48.7067;2.4572
Zone Rurale NO;O3;64.00517955801111;49.063087;1.866381
RAMBOUILLET;O3;56.38490041685959;48.63373;1.830529
TREMBLAY-EN-FRANCE;O3;46.66213194185616;48.95555;2.575278
Zone Rurale Est;O3;54.134734665747736;48.761665;3.058333
Zone Rurale SE;O3;57.99604267033721;48.3547;2.6453
St Romain de Colbosc;O3;59.14295033188372;49.528927;0.358733
Le Havre Ec. Herriot;O3;57.68791516140315;49.48963;0.100703
Touques;O3;60.4045182800643;49.348;0.109253
NDGravenchon Pasteur;O3;42.80946831755279;49.493332;0.571853
Maison Parc Brotonne;O3;53.20222844475573;49.498295;0.758833
Fécamp;O3;53.594836988049714;49.75;0.4159
Le Havre ville-haute;O3;57.18263403263409;49.514686;0.100645
Valenciennes Acacias;O3;47.00378344741761;50.35853;3.50804
Douai Theuriet;O3;50.163583815028886;50.37822;3.06586
