nom site;Polluant;valeur brute;Latitude;Longitude
Hayange;PM10;13.835486858863016;49.324722;6.076108
Metz-Centre;PM10;17.54719672537831;49.119442;6.180833
Metz-Borny;PM10;16.514448089993067;49.110283;6.223336
Pont-à-Mousson;PM10;17.646683822669328;48.915;6.058336
Blénod-lès-PAM;PM10;16.985824923726813;48.884724;6.051392
Atton;PM10;17.917816626371582;48.886387;6.093611
Thionville-Piscine;PM10;15.632753505933158;49.36861;6.160831
Thionville-Centre;PM10;17.421122635753516;49.358337;6.156942
St-Julien-lès-Metz;PM10;12.006809949287605;49.131115;6.207225
HAYANGE-MARSPICH;PM10;11.07945357893441;49.3374;6.08207
Malroy;PM10;16.388196350718587;49.16885;6.212669
Metz- Pont Grilles;PM10;18.681563386944166;49.12508;6.181219
Port de Bouc Leque;PM10;22.88489510489509;43.401952;4.981919
Port Saint Louis;PM10;18.04279410056903;43.39378;4.801024
Fos Les Carabins;PM10;19.8471211365902;43.458927;4.934572
Rognac les Brets;PM10;21.76304909560723;43.510802;5.220046
Arles;PM10;22.257744969639212;43.675114;4.62921
Miramas Centre Ville;PM10;14.801909511067818;43.584693;5.006452
Chateauneuf La Mede;PM10;17.518539066111988;43.399546;5.113214
SALON;PM10;19.939830605471;43.639002;5.101097
Marignane;PM10;21.46711711711713;43.4165306;5.222281
MARSEILLE RABATAU;PM10;33.20252984986399;43.276451;5.39736
MARSEILLE ST LOUIS;PM10;20.46851002489853;43.348048;5.360119
AIX ROY RENE;PM10;24.780212591986814;43.524075;5.448164
AIX CENTRE ECOLE ART;PM10;18.61261335531744;43.530285;5.440912
GARDANNE;PM10;25.49316604995367;43.453584;5.466672
MARSEILLE 5 AVENUES;PM10;17.887546904315162;43.305287;5.394716
BRIGNOLES;PM10;19.497205865373523;43.398731;6.075611
TOULON FOCH;PM10;27.53143608752827;43.126821;5.921605
HYERES;PM10;15.775840597758426;43.119737;6.131319
ESTEREL;PM10;18.767362495602182;43.437874;6.76839
TOULON CLARET;PM10;23.315466420067196;43.131113;5.924184
AVIGNON   MAIRIE;PM10;16.658632596685127;43.949673;4.804341
Avignon Semard;PM10;27.193255542590375;43.93706;4.824909
GENNEVILLIERS;PM10;19.901411432604117;48.92972;2.294722
PARIS 18eme;PM10;19.684168987929397;48.891666;2.346667
CERGY-PONTOISE;PM10;15.927210727083613;49.04639;2.043056
Av Champs Elysees;PM10;28.953079096045172;48.86889;2.311944
VITRY-SUR-SEINE;PM10;19.266363309783237;48.7758;2.3758
PARIS 1er Les Halles;PM10;18.91834140435835;48.86212;2.344616
Auto A1 -Saint-Denis;PM10;42.18133411351634;48.925278;2.356667
Zone rurale Sud;PM10;13.214885222381609;48.364166;2.236944
LOGNES;PM10;17.28222943974025;48.84028;2.635278
NOGENT-SUR-MARNE;PM10;19.493621372874987;48.840557;2.484444
Place de l'Opéra;PM10;27.551285310734457;48.870274;2.3325
RN6-MELUN;PM10;25.601132555183128;48.528057;2.653611
RN2-PANTIN;PM10;28.189602913533747;48.90222;2.390833
