nom site;Polluant;valeur brute;Latitude;Longitude
Metz-Centre;PM2.5;10.299694966954771;49.119442;6.180833
Thionville-Centre;PM2.5;8.200791002348321;49.358337;6.156942
Belleville sur Meuse;PM2.5;11.12720904510265;49.16778;5.387461
Port de Bouc Leque;PM2.5;11.110622454915644;43.401952;4.981919
MARSEILLE RABATAU;PM2.5;12.521118012422392;43.276451;5.39736
AIX CENTRE ECOLE ART;PM2.5;10.507021622878401;43.530285;5.440912
GARDANNE;PM2.5;11.896124927703868;43.453584;5.466672
MARSEILLE 5 AVENUES;PM2.5;9.676113977485915;43.305287;5.394716
ESTEREL;PM2.5;13.783644037987996;43.437874;6.76839
TOULON CLARET;PM2.5;12.328706479133086;43.131113;5.924184
AVIGNON   MAIRIE;PM2.5;10.983161713082172;43.949673;4.804341
GENNEVILLIERS;PM2.5;12.08796675350456;48.92972;2.294722
GONESSE;PM2.5;11.251028232833736;48.99083;2.444722
VITRY-SUR-SEINE;PM2.5;10.797380122581407;48.7758;2.3758
Zone Rurale Nord;PM2.5;8.727430108784674;49.100277;2.343889
PARIS 1er Les Halles;PM2.5;12.126609029779052;48.86212;2.344616
Auto A1 -Saint-Denis;PM2.5;16.2001980890236;48.925278;2.356667
Zone rurale Sud;PM2.5;7.781828140214214;48.364166;2.236944
RN6-MELUN;PM2.5;13.63216815700855;48.528057;2.653611
PARIS Centre;PM2.5;13.691330187030289;48.859001;2.351
BOBIGNY;PM2.5;10.20584738566055;48.902504;2.4525
RAMBOUILLET;PM2.5;8.318526596389162;48.63373;1.830529
Zone Rurale SE;PM2.5;6.884412275622478;48.3547;2.6453
Bld peripherique Est;PM2.5;15.514322280395634;48.838615;2.412781
Maison Parc Brotonne;PM2.5;8.552219598583243;49.498295;0.758833
Le Havre Lafaurie-montant;PM2.5;9.96217802803403;49.500187;0.110903
Le Havre ville-haute;PM2.5;10.86832283370972;49.514686;0.100645
Douai Theuriet;PM2.5;12.371768749232832;50.37822;3.06586
Valenciennes Wallon;PM2.5;12.421845858475075;50.36425;3.52273
Cartignies;PM2.5;9.420855878012832;50.09225;3.85003
Montferrand;PM2.5;8.11729556141758;45.79728;3.113833
Paray le Fresil;PM2.5;6.772482659650826;46.652668;3.600667
Clermont-Esplanade Gare;PM2.5;9.450387955993046;45.775696;3.09625
Aurillac-Lagarde;PM2.5;6.573635427394427;44.92008;2.441082
Moulins Centre;PM2.5;7.52184887459808;46.5619722;3.34063888888888
Montluçon;PM2.5;6.158581132075477;46.340723;2.593945
Montpellier Prés d'Arènes;PM2.5;7.194067499708026;43.5915;3.88681
Lunel Viel;PM2.5;8.37656155611938;43.6758;4.08838
Pompignane;PM2.5;9.159280235988184;43.6096;3.89878
GARNOR03;PM2.5;7.891907373552691;44.054475;4.697408
Nimes Gauzy;PM2.5;8.182322519981179;43.8344;4.3744
Perpignan Les Carmes;PM2.5;9.648951807228912;42.6955;2.90053
place de VERDUN;PM2.5;9.08251095227116;46.162556;-1.153603
Niort Ferry;PM2.5;8.854802529531103;46.329586;-0.458889
Square Pablo Casals;PM2.5;9.150718907260954;45.647415;0.167167
La Pallice3 LR;PM2.5;9.079294036221018;46.16161;-1.211203
Zoodyssée Chizé;PM2.5;7.062021392032225;46.143173;-0.396042
Poitiers Centre  Augouard;PM2.5;9.847309417040355;46.58389;0.345556
Malo-les-Bains;PM2.5;11.437680425424194;51.04858;2.42004
Calais Berthelot;PM2.5;10.2258581779309;50.94729;1.84308
Boulogne Diderot;PM2.5;11.779343496772421;50.717029;1.605913
Campagne les B.;PM2.5;10.044794837452828;50.61048;1.99145
Lille Leeds;PM2.5;10.565639255332247;50.6407944;3.074772
Lille Fives;PM2.5;13.306405649857531;50.62805;3.09031
Roubaix Serres;PM2.5;14.08814249363868;50.706535;3.18066
PEYRUSSE;PM2.5;6.493891010065939;43.6287;0.179069
MAZADES;PM2.5;8.626771929824553;43.623606;1.438531
BERTHELOT;PM2.5;8.382522721690007;43.587344;1.444003
LOURDES PARADIS;PM2.5;8.140817416855901;43.094992;-0.052394
TRAFIC_TOULOUSE;PM2.5;10.557627317531104;43.643944;1.468244
REVIN;PM2.5;6.076567146425604;49.90778;4.63
DOUMER;PM2.5;11.387184533456804;49.250732;4.023064
Jean d Aulan;PM2.5;11.379175653007438;49.224167;4.020556
Rempart Perrier;PM2.5;9.679849884526535;49.0461;3.955911
STE SAVINE;PM2.5;11.173246263632691;48.295002;4.050278
St DIZIER L. Michel;PM2.5;9.374288605033481;48.645836;4.966111
Le Rondeau;PM2.5;9.687365373480032;45.158363;5.703764
Grenoble Les Frenes;PM2.5;10.938371810449617;45.1619;5.7356
Strasbourg Est;PM2.5;13.9822033898305;48.570374;7.766331
