nom site;Polluant;valeur brute;Latitude;Longitude
Metz-Borny;SO2;0.5720090687129333;49.110283;6.223336
Atton;SO2;2.1439454691259;48.886387;6.093611
Thionville-Centre;SO2;3.516327813875496;49.358337;6.156942
St-Julien-lès-Metz;SO2;0.4254883828459071;49.131115;6.207225
HAYANGE-MARSPICH;SO2;0.5517721742197196;49.3374;6.08207
Malroy;SO2;1.4587001784651892;49.16885;6.212669
Berre l'Etang;SO2;1.5693371483071035;43.486234;5.171939
Chateauneuf;SO2;1.1592798812175134;43.386816;5.16006
Martigues P. Central;SO2;2.280020763640563;43.416661;5.042731
Martigues Laurons;SO2;5.165951255001826;43.358982;5.023388
Martigues La Gatasse;SO2;2.141492329149234;43.360692;5.058139
Port de Bouc Leque;SO2;3.6353380864765454;43.401952;4.981919
Port Saint Louis;SO2;1.8970230360307172;43.39378;4.801024
Fos sur Mer;SO2;5.489431730521916;43.437858;4.945116
Istres;SO2;2.551106965174126;43.506149;4.982898
Fos Les Carabins;SO2;1.687215064420218;43.458927;4.934572
Vitrolles;SO2;1.4289224033081953;43.44603;5.254136
Rognac les Brets;SO2;-0.7253996238833929;43.510802;5.220046
Sausset les Pins;SO2;0.2547627541919356;43.331245;5.117696
Martigues Lavera;SO2;4.23791717417782;43.386564;5.026868
Chateauneuf La Mede;SO2;1.6464845173041853;43.399546;5.113214
Martigues  Couronne;SO2;1.7513074947466734;43.339893;5.058827
Marignane;SO2;1.1852169877001657;43.4165306;5.222281
GARDANNE;SO2;-0.5342633794347511;43.453584;5.466672
MARSEILLE 5 AVENUES;SO2;2.28734064252932;43.305287;5.394716
NEUILLY-SUR-SEINE;SO2;1.2166857666743165;48.88139;2.278056
AUBERVILLIERS;SO2;1.7158320628591717;48.9039;2.3847
VITRY-SUR-SEINE;SO2;1.0234502302515078;48.7758;2.3758
Zone Rurale SE;SO2;0.8522420184144454;48.3547;2.6453
St Romain de Colbosc;SO2;2.952062328139334;49.528927;0.358733
Caucriauville;SO2;5.500394294329128;49.503906;0.175731
Quillebeuf Phare;SO2;5.365297012704593;49.47372;0.526158
Tancarville Mairie;SO2;3.5676375404530756;49.487682;0.451756
Harfleur Ecole Coty;SO2;2.979724612736665;49.505;0.201694
Sainte Adresse;SO2;2.8977024698449223;49.50386;0.084614
Le Havre Ec. Herriot;SO2;2.1548779089762924;49.48963;0.100703
Le Havre Massillon;SO2;3.209336242535599;49.4983;0.142706
Rogerville Mairie;SO2;5.002630675969328;49.50362;0.266872
La Cerlangue;SO2;3.0044378359830635;49.504036;0.411594
Gonfreville l Orcher;SO2;6.608031296743738;49.50273;0.232486
NDGravenchon Pasteur;SO2;9.068961547317574;49.493332;0.571853
Lillebonne;SO2;2.7972126634549093;49.512146;0.539036
Maison Parc Brotonne;SO2;2.118292113859058;49.498295;0.758833
Le Havre ville-haute;SO2;4.609927192881084;49.514686;0.100645
COGNAC;SO2;0.7261864692022919;45.694725;-0.323361
AIRVAULT 2;SO2;1.5196518552450748;46.824368;-0.135461
Mardyck;SO2;1.855949895615865;51.01943;2.25099
